timestamp,count,duration_ms,cost_microdollars
2025-08-13,2,1.69,0.40671547007560727
2025-08-14,21,3.57,4.348952305197716
2025-08-15,25,4.1396,5.205616567492485
2025-08-16,33,4.442121212121212,6.891248745083809
2025-08-17,20,5.2305,4.20784181201458
2025-08-18,15,3.769333333333334,3.1123351118564604
2025-08-19,10,7.909000000000001,2.1571380261182784
2025-08-20,10,1.759,2.034948259949684
2025-08-21,2,1.91,0.40758967328071594
2025-08-22,1,2.1,0.20417233347892763
2025-08-23,2,5.375,0.421358373761177
2025-08-24,2,4.135,0.41643104660511016
2025-08-25,1,1.83,0.2036358906030655
2025-08-26,1,2.03,0.20403325569629668
2025-08-27,4,1.9125,0.8151992148160935
2025-08-28,6,4.363333333333333,1.2520150907039642
2025-08-29,5,1.702,1.0169078847169877
2025-08-30,1,2.08,0.2041325969696045
2025-08-31,2,2.0949999999999998,0.40832479870319366
2025-09-01,6,6.236666666666667,1.2743470089435578
2025-09-02,3,5.5133333333333345,0.6328620932102204
2025-09-03,5,1.934,1.0192126022577286
2025-09-04,9,2.0466666666666664,1.8365973250865935
2025-09-05,3,1.9866666666666666,0.6118414797782898
2025-09-06,4,5.140000000000001,0.8408491315841675
2025-09-07,4,5.245,0.841683598279953
2025-09-08,9,6.202222222222222,1.9109045975208283
2025-09-09,2,1.835,0.40729164946079255
2025-09-10,2,1.935,0.40768901455402373
2025-09-11,2,2.045,0.40812611615657807
2025-09-12,2,4.225,0.41678867518901824
2025-09-13,1,2.07,0.20411272871494293
2025-09-14,1,12.95,0.22572938978672027
2025-09-15,8,4.09125,1.6650287975072862
2025-09-16,1,3.17,0.20629823672771452
2025-09-17,4,3.4475,0.8273983231782913
2025-09-18,1,1.98,0.2039339144229889
2025-09-19,2,8.14,0.4323455185890198
2025-09-20,2,10.8,0.4429154300689698
2025-09-21,4,1.8900000000000001,0.8150204005241395
2025-09-22,2,10.120000000000001,0.4402133474349975
2025-09-24,3,1.9633333333333336,0.611702401995659
2025-09-25,1,1.82,0.20361602234840392
2025-09-26,2,1.96,0.40778835582733153
2025-09-27,5,5.188,1.0515382525920869
2025-09-28,1,15.57,0.23093487250804903
2025-09-29,3,2.0233333333333334,0.6120600305795669
2025-09-30,2,9.6,0.4381470489501953
2025-10-01,2,1.9049999999999998,0.4075698050260544
2025-10-02,1,1.89,0.20375510013103484
2025-10-03,3,8.883333333333335,0.6529488986730576
2025-10-04,1,2.25,0.20447035729885102
2025-10-05,2,4.0,0.415894603729248
2025-10-06,4,5.345,0.8424783284664155
2025-10-07,2,1.935,0.40768901455402373
2025-10-08,2,2.0599999999999996,0.4081857209205627
2025-10-09,1,2.32,0.20460943508148194
2025-10-10,2,1.845,0.40733138597011564
2025-10-11,2,7.6049999999999995,0.4302196153402329
2025-10-12,2,9.045,0.4359416726827621
2025-10-13,3,1.7633333333333334,0.6105103067159653
2025-10-14,5,8.154,1.0810028742551805
2025-10-15,7,5.821428571428571,1.4809631377458572
2025-10-16,2,2.995,0.4119010845422745
2025-10-17,3,1.8266666666666664,0.6108878035545349
2025-10-18,5,4.04,1.0401338744163513
2025-10-19,1,54.16,0.3076064672470093
2025-10-20,2,2.025,0.4080466431379318
2025-10-21,1,2.12,0.20421206998825076
2025-10-22,9,2.9366666666666665,1.8525117970705032
2025-10-23,3,8.436666666666667,0.6502865525484085
2025-10-24,16,1.81,3.257538465499878
2025-10-25,1,2.02,0.20401338744163514
2025-10-26,1,1.92,0.20381470489501952
2025-10-27,1,1.94,0.20385444140434264
2025-10-28,5,3.44,1.0341733980178833
2025-10-29,6,10.765,1.3283290568590165
2025-10-30,1,1.98,0.2039339144229889
2025-10-31,3,7.406666666666666,0.6441472618579864
2025-11-01,2,8.19,0.4325442011356354
2025-11-02,3,3.4233333333333333,0.6204046975374222
2025-11-03,4,4.2175,0.8335177456140519
2025-11-04,3,6.386666666666667,0.6380675759315491
2025-11-05,1,19.7,0.2391404616832733
2025-11-06,1,12.65,0.22513334214687347
2025-11-07,1,1.96,0.20389417791366576
2025-11-08,1,1.75,0.203476944565773
2025-11-09,2,14.555,0.45783648931980137
2025-11-10,2,1.9449999999999998,0.40772875106334683
2025-11-11,3,1.9533333333333331,0.6116427972316743
2025-11-12,5,4.916,1.0488361699581146
2025-11-13,1,1.94,0.20385444140434264
2025-11-14,2,7.83,0.43111368680000306
2025-11-15,4,1.9825,0.8157555259466172
2025-11-16,1,21.95,0.24361081898212433
2025-11-17,4,3.3175,0.8263651739358902
2025-11-18,4,2.0075,0.8159542084932327
2025-11-19,2,6.07,0.4241200611591339
2025-11-20,5,6.412000000000001,1.0636976244449616
2025-11-21,1,1.99,0.20395378267765044
2025-11-22,1,1.9,0.2037749683856964
2025-11-23,2,2.0700000000000003,0.4082254574298859
2025-11-24,1,13.52,0.22686188030242918
2025-11-25,1,1.95,0.20387430965900422
2025-11-26,2,2.35,0.4093380796909332
2025-11-27,5,3.946,1.039200066447258
2025-11-28,1,9.66,0.21919273400306702
2025-11-29,2,15.3,0.46079685926437375
2025-11-30,1,1.86,0.20369549536705017
2025-12-01,1,2.14,0.20425180649757385
2025-12-02,8,5.1975,1.6826122028827668
2025-12-03,3,7.806666666666666,0.6465314524173736
2025-12-04,1,2.06,0.20409286046028138
2025-12-05,1,4.25,0.20844400823116302
2025-12-06,1,2.17,0.20431141126155852
2025-12-07,1,2.02,0.20401338744163514
2025-12-08,5,6.656000000000001,1.066121551513672
2025-12-09,3,7.363333333333333,0.6438889745473861
2025-12-10,2,1.9,0.40754993677139284
